Item ID #,Supplier Stock Ref.,Cut,Carat,Color,Natural Fancy Color,Natural Fancy Color Intensity,Natural Fancy Color Overtone,Treated Color,Clarity,Cut Grade,Grading Lab,Certificate Number,Certificate Path,Image Path,Online Report,Video URL,3DViewer URL,Price Per Carat,Total Price,% Off IDEX List,Polish,Symmetry,Measurements Length,Measurements Width,Measurements Height,Depth,Table,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Girdle From,Girdle To,Culet Size,Culet Condition,Graining,Fluorescence Intensity,Fluorescence Color,Enhancement,Country,State / Region,Pair Stock Ref.,Asking Price For Pair,Shade,Milky,Black Inclusion,Eye Clean,Provenance Report,Provenance Number,Brand,Guaranteed Availability,
123491853,MS370996,Heart,0.320,,Black,Fancy,,,VS1,,EGL Other,US53880641D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/MS370996_US53880641D.jpg,,,,,300,96.00,,,,3.77,4.17,2.9,,,,,,,,,,,,,,Irradiated,USA,New York,,300.0000,,,,,,,,Yes,
123491856,MS371040,Cushion,0.700,,Black,Fancy,,,SI1,,EGL Other,US53880709D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/MS371040_US53880709D.jpg,https://dtol-member-images.s3.amazonaws.com/1265/Images/5773442-371040_large.jpg,,,,250,175.00,,,,6.96,5.31,1.75,,,,,,,,,,,,,,Irradiated,USA,New York,,250.0000,,,,,,,,Yes,
123491858,MS371055,Pear,4.360,,Black,Fancy,,,SI1,,EGL Other,US53880747D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/MS371055_US53880747D.jpg,https://dtol-member-images.s3.amazonaws.com/1265/Images/MS371055.jpg,,,,350,1526.00,,,,11.79,9.61,4.74,,,,,,,,,,,,,,Irradiated,USA,New York,,350.0000,,,,,,,,Yes,
123491869,MS371083,Princess,2.870,,Black,Fancy,,,SI1,,EGL Other,US53880841D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/MS371083_US53880841D.jpg,,,,,250,717.50,,,,7.41,7.03,5.62,,,,,,,,,,,,,,Irradiated,USA,New York,,250.0000,,,,,,,,Yes,
123491870,MS371084,Princess,3.000,,Black,Fancy,,,SI1,,EGL Other,US51930283D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/MS371084_US51930283D.jpg,,,,,300,900.00,,,,7.3,7.05,5.78,,,,,,,,,,,,,,Irradiated,USA,New York,,300.0000,,,,,,,,Yes,
123491874,MS371094,Marquise,0.300,,Black,Fancy,,,SI1,,EGL Other,US51930497D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/MS371094_US51930497D.jpg,https://dtol-member-images.s3.amazonaws.com/1265/Images/MS371094.jpg,,,,250,75.00,,,,6.03,3.52,2.13,,,,,,,,,,,,,,Irradiated,USA,New York,,250.0000,,,,,,,,Yes,
123491875,MS371095,Marquise,0.320,,Black,Fancy,,,VS1,,EGL Other,US51930496D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/MS371095_US51930496D.jpg,https://dtol-member-images.s3.amazonaws.com/1265/Images/MS371095.jpg,,,,300,96.00,,,,6.5,3.44,2.06,,,,,,,,,,,,,,Irradiated,USA,New York,,300.0000,,,,,,,,Yes,
123491876,MS371104,Round,1.970,,Black,Fancy,,,SI1,,EGL Other,US53881003D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/US53881003D.jpg,https://dtol-member-images.s3.amazonaws.com/1265/Images/5772977-370919_large-(4).jpg,,,,250,492.50,,,,7.14,7.03,5.91,,,,,,,,,,,,,,Irradiated,USA,New York,,250.0000,,,,,,,,Yes,
123491879,MS371109,Round,1.760,,Black,Fancy,,,VS1,,EGL Other,US53881018D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/MS371109_US53881018D.jpg,https://dtol-member-images.s3.amazonaws.com/1265/Images/5750413-371109.jpg,,,,200,352.00,,,,6.97,6.8,5.55,,,,,,,,,,,,,,Irradiated,USA,New York,,200.0000,,,,,,,,Yes,
123491880,MS371110,Emerald,1.000,,Black,Fancy,,,VS1,,EGL Other,US53881034D,,https://dtol-member-images.s3.amazonaws.com/1265/Images/MS371110.jpg,,,,350,350.00,,,,5.8,4.96,3.29,,,,,,,,,,,,,,Irradiated,USA,New York,,350.0000,,,,,,,,Yes,
123491884,MS371120,Oval,1.780,,Black,Fancy,,,SI1,,EGL Other,US56848308D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/MS371120_US56848308D.jpg,,,,,250,445.00,,,,8.23,5.75,5.18,,,,,,,,,,,,,,Irradiated,USA,New York,,250.0000,,,,,,,,Yes,
123491887,MS371123,Oval,1.410,,Black,Fancy,,,SI1,,EGL Other,US56848304D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/MS371123_US56848304D.jpg,,,,,250,352.50,,,,7.02,5.49,5.18,,,,,,,,,,,,,,Irradiated,USA,New York,,250.0000,,,,,,,,Yes,
123491889,MS371130,Princess,2.500,,Black,Fancy,,,SI1,,EGL Other,US53881042D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/MS371130_US53881042D.jpg,,,,,250,625.00,,,,6.94,6.22,5.91,,,,,,,,,,,,,,Irradiated,USA,New York,,250.0000,,,,,,,,Yes,
123491890,MS371132,Princess,2.360,,Black,Fancy,,,SI1,,EGL Other,US53881045D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/MS371132_US53881045D.jpg,,,,,250,590.00,,,,6.69,6.54,5.43,,,,,,,,,,,,,,Irradiated,USA,New York,,250.0000,,,,,,,,Yes,
123491891,MS371133,Oval,2.640,,Black,Fancy,,,VS1,,EGL Other,US53881051D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/MS371133_US53881051D.jpg,,,,,300,792.00,,,,8.61,6.56,6.19,,,,,,,,,,,,,,Irradiated,USA,New York,,300.0000,,,,,,,,Yes,